name,price,description,imageURL
Rose Bouquet,29.99,A beautiful bouquet of red roses perfect for romantic occasions.,https://images.unsplash.com/photo-1713094010686-7e071fb887da?q=80&w=1302&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Tulip Arrangement,24.99,A vibrant arrangement of fresh tulips in assorted colors.,https://images.unsplash.com/photo-1712227186098-8b0bdab315b2?q=80&w=1287&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Sunflower Bundle,19.99,A cheerful bundle of sunflowers to brighten any room.,https://cdn.pixabay.com/photo/2016/08/03/07/36/sunflower-1569144_1280.jpg
Daisy Delight,14.99,A delightful mix of daisies in a variety of colors.,https://cdn.pixabay.com/photo/2015/04/19/08/32/rose-729509_1280.jpg
Orchid Elegance,34.99,Elegant orchids arranged in a stylish display.,https://cdn.pixabay.com/photo/2016/11/23/14/45/orchid-1852824_1280.jpg
Lilac Love,21.99,Lovely lilacs with a sweet fragrance.,https://cdn.pixabay.com/photo/2015/05/30/15/17/lilac-791290_1280.jpg
Peony Perfection,27.99,Perfectly bloomed peonies in a stunning bouquet.,https://cdn.pixabay.com/photo/2016/08/11/09/01/pink-peonies-1587515_1280.jpg
Gardenia Grandeur,23.99,Luxurious gardenias arranged with lush greenery.,https://cdn.pixabay.com/photo/2017/01/21/18/36/gardenia-1990931_1280.jpg
Lily Luxury,26.99,Elegant lilies in a sophisticated arrangement.,https://cdn.pixabay.com/photo/2016/08/25/09/31/lily-1627194_1280.jpg
Carnation Charm,18.99,Charming carnations in a colorful assortment.,https://cdn.pixabay.com/photo/2017/08/06/18/18/roses-2595271_1280.jpg


